,lambda_u,lambda_i,lambda_p,lambda_t,n_factors,MAE
426,1.0,1.0,10.0,1.0,4,0.705254954776
427,1.0,1.0,10.0,10.0,4,0.694269815483
428,1.0,1.0,10.0,100.0,4,0.691533346615
429,1.0,1.0,100.0,1.0,4,0.693601117299
430,1.0,1.0,100.0,10.0,4,0.693237103781
431,1.0,1.0,100.0,100.0,4,0.693320337385
432,0.001,0.001,1.0,1.0,8,0.779998684371
433,0.001,0.001,1.0,10.0,8,0.736587120356
434,0.001,0.001,1.0,100.0,8,0.695808818742
435,0.001,0.001,10.0,1.0,8,0.732796592107
436,0.001,0.001,10.0,10.0,8,0.702776962624
437,0.001,0.001,10.0,100.0,8,0.701729474606
438,0.001,0.001,100.0,1.0,8,0.70191240181
439,0.001,0.001,100.0,10.0,8,0.702491152116
440,0.001,0.001,100.0,100.0,8,0.703339939481
441,0.001,0.01,1.0,1.0,8,0.70403772936
442,0.001,0.01,1.0,10.0,8,0.703807322813
443,0.001,0.01,1.0,100.0,8,0.702789022566
444,0.001,0.01,10.0,1.0,8,0.727862625485
445,0.001,0.01,10.0,10.0,8,0.704325301274
446,0.001,0.01,10.0,100.0,8,0.704240991022
447,0.001,0.01,100.0,1.0,8,0.703833843099
448,0.001,0.01,100.0,10.0,8,0.705126516111
449,0.001,0.01,100.0,100.0,8,0.705075966313
450,0.001,0.1,1.0,1.0,8,0.704939663637
451,0.001,0.1,1.0,10.0,8,0.704246921562
452,0.001,0.1,1.0,100.0,8,0.705180219272
453,0.001,0.1,10.0,1.0,8,0.726170032905
454,0.001,0.1,10.0,10.0,8,0.70326184828
455,0.001,0.1,10.0,100.0,8,0.702957858089
456,0.001,0.1,100.0,1.0,8,0.703469881379
457,0.001,0.1,100.0,10.0,8,0.703190927528
458,0.001,0.1,100.0,100.0,8,0.703533901829
459,0.001,1.0,1.0,1.0,8,0.701969187744
460,0.001,1.0,1.0,10.0,8,0.699541636354
461,0.001,1.0,1.0,100.0,8,0.699242689615
462,0.001,1.0,10.0,1.0,8,0.716024192306
463,0.001,1.0,10.0,10.0,8,0.692381532478
464,0.001,1.0,10.0,100.0,8,0.692306522218
465,0.001,1.0,100.0,1.0,8,0.692632749124
466,0.001,1.0,100.0,10.0,8,0.692749702316
467,0.001,1.0,100.0,100.0,8,0.693322438983
468,0.01,0.001,1.0,1.0,8,0.693370898023
469,0.01,0.001,1.0,10.0,8,0.694789081286
470,0.01,0.001,1.0,100.0,8,0.695540909546
471,0.01,0.001,10.0,1.0,8,0.72819894783
472,0.01,0.001,10.0,10.0,8,0.70260825924
473,0.01,0.001,10.0,100.0,8,0.700217474523
474,0.01,0.001,100.0,1.0,8,0.701692595142
475,0.01,0.001,100.0,10.0,8,0.702489635064
476,0.01,0.001,100.0,100.0,8,0.702463143387
477,0.01,0.01,1.0,1.0,8,0.702591150121
478,0.01,0.01,1.0,10.0,8,0.702999073415
479,0.01,0.01,1.0,100.0,8,0.703096571737
480,0.01,0.01,10.0,1.0,8,0.727495121104
481,0.01,0.01,10.0,10.0,8,0.704185558445
482,0.01,0.01,10.0,100.0,8,0.703782871544
483,0.01,0.01,100.0,1.0,8,0.704197434791
484,0.01,0.01,100.0,10.0,8,0.706254323899
485,0.01,0.01,100.0,100.0,8,0.705116556602
486,0.01,0.1,1.0,1.0,8,0.705079507462
487,0.01,0.1,1.0,10.0,8,0.705133750031
488,0.01,0.1,1.0,100.0,8,0.704896851234
489,0.01,0.1,10.0,1.0,8,0.725372197629
490,0.01,0.1,10.0,10.0,8,0.702515694837
491,0.01,0.1,10.0,100.0,8,0.702749106431
492,0.01,0.1,100.0,1.0,8,0.70317507578
493,0.01,0.1,100.0,10.0,8,0.704602328621
494,0.01,0.1,100.0,100.0,8,0.704037744824
495,0.01,1.0,1.0,1.0,8,0.70150079734
496,0.01,1.0,1.0,10.0,8,0.700230525976
497,0.01,1.0,1.0,100.0,8,0.698664401929
498,0.01,1.0,10.0,1.0,8,0.71094464753
499,0.01,1.0,10.0,10.0,8,0.691200113971
500,0.01,1.0,10.0,100.0,8,0.691916963347
501,0.01,1.0,100.0,1.0,8,0.692207239829
502,0.01,1.0,100.0,10.0,8,0.693062684486
503,0.01,1.0,100.0,100.0,8,0.693297462774
504,0.1,0.001,1.0,1.0,8,0.694533101276
505,0.1,0.001,1.0,10.0,8,0.724899731315
506,0.1,0.001,1.0,100.0,8,0.69542744324
507,0.1,0.001,10.0,1.0,8,0.725236540932
508,0.1,0.001,10.0,10.0,8,0.70155957089
509,0.1,0.001,10.0,100.0,8,0.701260851212
510,0.1,0.001,100.0,1.0,8,0.702659373582
511,0.1,0.001,100.0,10.0,8,0.702308880845
